Animal_Species,Age_Months,Sex,Herd_Size,Vaccinated_FMD,Vaccinated_HS,Vaccinated_LSD,Vaccinated_BQ,Days_Since_Last_Vaccination,Recent_Treatment,Latitude,Longitude,Dist_Nearest_Outbreak_km,Dist_Waterbody_km,Temperature_C,Humidity_Percent,Rainfall_mm,Season,District_Outbreaks_30d,Symptom_Onset_Days,Sick_Animal_Count,Mortality_Count,Fever,Salivation,Blisters_Mouth_Teats,Lameness,Skin_Nodules,Udder_Swelling,Respiratory_Distress,Abnormal_Milk,Diarrhea,Bleeding_Orifices,Target_Disease,Triage_Risk_Level,Escalation_Required
Cow,26,Female,10,1,1,1,0,101,Supportive Care,21.685,80.109,2.8,9.2,29.3,68.8,28.4,Monsoon,1,3,4,0,1,0,0,1,0,0,0,0,0,0,Black_Quarter,High,1
Buffalo,98,Female,3,1,0,1,1,213,Supportive Care,19.2293,77.6641,34.4,12.4,30.7,83.7,12.5,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy,Low,0
Cow,22,Female,2,1,0,0,1,238,Antibiotics,25.0226,78.9255,26.4,6.5,32.7,89.1,23.2,Post-Monsoon,0,5,1,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Buffalo,78,Female,12,0,0,1,1,242,Antibiotics,21.6397,78.0089,11.5,1.9,27.4,73.0,65.3,Monsoon,4,3,4,1,1,1,0,0,0,0,0,0,0,0,Hemorrhagic_Septicemia,Critical,1
Buffalo,115,Male,7,0,0,1,0,285,Dewormed,23.8083,73.1991,25.8,3.5,22.3,58.7,5.2,Monsoon,3,1,3,0,1,1,1,1,0,0,0,0,0,0,FMD,High,1
Cow,44,Female,3,1,1,1,1,217,Untreated,22.5489,77.4674,47.0,14.6,24.2,83.6,28.1,Summer,2,5,2,0,0,0,0,0,0,1,0,0,0,0,Mastitis,Moderate,0
Cow,26,Female,3,1,1,0,1,243,Dewormed,22.4361,82.2226,2.7,14.9,29.6,73.1,23.6,Post-Monsoon,5,2,1,0,1,0,0,0,0,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Cow,117,Female,4,1,1,1,1,62,Antibiotics,25.5217,82.7214,88.0,13.7,21.3,47.8,7.3,Summer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy,Low,0
Buffalo,80,Female,1,1,0,0,0,40,Untreated,23.2866,81.7131,48.8,7.8,27.5,70.0,7.3,Post-Monsoon,3,4,1,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Buffalo,115,Female,12,1,0,1,1,277,Untreated,21.391,78.6817,9.1,6.6,28.0,82.5,35.0,Monsoon,3,6,3,1,1,1,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,63,Female,8,0,1,1,0,304,Antibiotics,23.861,77.0875,13.4,7.5,23.8,60.9,8.8,Winter,3,4,2,0,1,1,1,1,0,0,0,1,0,0,FMD,Moderate,0
Cow,68,Female,14,1,1,1,0,277,Antibiotics,23.798,78.7903,24.9,1.3,25.9,79.2,18.0,Winter,2,3,4,0,1,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Cow,95,Female,1,1,1,0,1,54,Antibiotics,16.0855,82.3258,28.1,6.4,35.1,82.0,38.9,Monsoon,2,5,1,0,1,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
